wav_filename	CHS_transcript	Pinyin_transcript
/raid/BH/mitom/ASRT_SR_tensorflow2.0/data/data_thchs30/train/A2_0.wav	绿是阳春烟景大块文章的底色四月的林峦更是绿得鲜活秀媚诗意盎然	lv4 shi4 yang2 chun1 yan1 jing3 da4 kuai4 wen2 zhang1 de5 di3 se4 si4 yue4 de5 lin2 luan2 geng4 shi4 lv4 de5 xian1 huo2 xiu4 mei4 shi1 yi4 ang4 ran2
/raid/BH/mitom/ASRT_SR_tensorflow2.0/data/data_thchs30/train/A2_15.wav	柳宗夏现年六十岁五十年代进入韩外务部工作一九九四年十二月任外交安保首席秘书	liu3 zong1 xia4 xian4 nian2 liu4 shi2 sui4 wu3 shi2 nian2 dai4 jin4 ru4 han2 wai4 wu4 bu4 gong1 zuo4 yi1 jiu3 jiu3 si4 nian2 shi2 er4 yue4 ren4 wai4 jiao1 an1 bao3 shou3 xi2 mi4 shu1
/raid/BH/mitom/ASRT_SR_tensorflow2.0/data/data_thchs30/train/A2_26.wav	等从晕晕乎乎中醒转来时间已经丢下一串长长的脚印消逝得无影无踪	deng3 cong2 yun1 yun5 hu1 hu1 zhong1 xing3 zhuan3 lai2 shi2 jian1 yi3 jing1 diu1 xia4 yi2 chuan4 chang2 chang2 de5 jiao3 yin4 xiao1 shi4 de5 wu2 ying3 wu2 zong1
/raid/BH/mitom/ASRT_SR_tensorflow2.0/data/data_thchs30/train/A2_3.wav	菜做好了一碗清蒸武昌鱼一碗蕃茄炒鸡蛋一碗榨菜干子炒肉丝	cai4 zuo4 hao3 le5 yi4 wan3 qing1 zheng1 wu3 chang1 yu2 yi4 wan3 fan1 qie2 chao3 ji1 dan4 yi4 wan3 zha4 cai4 gan1 zi3 chao3 rou4 si1
/raid/BH/mitom/ASRT_SR_tensorflow2.0/data/data_thchs30/train/A2_40.wav	设想要海阔天空观察要全面细致立论要有根有据这是欧阳自远的治学准则	she4 xiang3 yao4 hai3 kuo4 tian1 kong1 guan1 cha2 yao4 quan2 mian4 xi4 zhi4 li4 lun4 yao4 you3 gen1 you3 ju4 zhe4 shi4 ou1 yang2 zi4 yuan3 de5 zhi4 xue2 zhun3 ze2
/raid/BH/mitom/ASRT_SR_tensorflow2.0/data/data_thchs30/train/A2_43.wav	它是利用光波扫描配合激光过滤以化学物矽去造模最后以一种电脑技术制作而成	ta1 shi4 li4 yong4 guang1 bo1 sao3 miao2 pei4 he2 ji1 guang1 guo4 lv4 yi3 hua4 xue2 wu4 xi1 qu4 zao4 mo2 zui4 hou4 yi3 yi1 zhong3 dian4 nao3 ji4 shu4 zhi4 zuo4 er2 cheng2
/raid/BH/mitom/ASRT_SR_tensorflow2.0/data/data_thchs30/train/A2_47.wav	此后记者们和各有关机构总是有意无意地把两人往一块儿凑希望促成一段美好姻缘	ci3 hou4 ji4 zhe3 men5 he2 ge4 you3 guan1 ji1 gou4 zong3 shi4 you3 yi4 wu2 yi4 de5 ba3 liang3 ren2 wang3 yi2 kuai4 er5 cou4 xi1 wang4 cu4 cheng2 yi1 duan4 mei2 hao3 yin1 yuan2
/raid/BH/mitom/ASRT_SR_tensorflow2.0/data/data_thchs30/train/A2_5.wav	有一家个体制品厂本该用完整的型材生产门窗却用半截材打结凑合	you3 yi4 jia1 ge4 ti3 zhi4 pin2 chang3 ben3 gai1 yong4 wan2 zheng3 de5 xing2 cai2 sheng1 chan3 men2 chuang1 que4 yong4 ban4 jie2 cai2 da3 jie2 cou4 he5
/raid/BH/mitom/ASRT_SR_tensorflow2.0/data/data_thchs30/train/A2_50.wav	一香港的抗日救亡运动以救亡文化运动为主要形式	yi1 xiang1 gang3 de5 kang4 ri4 jiu4 wang2 yun4 dong4 yi3 jiu4 wang2 wen2 hua4 yun4 dong4 wei2 zhu3 yao4 xing2 shi4
/raid/BH/mitom/ASRT_SR_tensorflow2.0/data/data_thchs30/train/A2_54.wav	这种伟航牌电子灭蚊蝇灯采用某种光谱能的光效应诱杀蚊蝇和飞虫对人体无害	zhe4 zhong3 wei3 hang2 pai2 dian4 zi3 mie4 wen2 ying2 deng1 cai3 yong4 mou2 zhong3 guang1 pu3 neng2 de5 guang1 xiao4 ying4 you4 sha1 wen2 ying2 he2 fei1 chong2 dui4 ren2 ti3 wu2 hai4
